\begin{table}[htbp]
\centering
\small
\caption{Résumé des résultats - summary\_FC\_MAX\_DY\_MIN\_MAX}
\label{tab:summary-fc-max-dy-min}
\begin{tabular}{rrrrrrrrrrrrrrrrrrr}
  \hline
  \textbf{Instances} & \textbf{fh\_tk} & \textbf{fh\_day} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} & \textbf{fh\_tk} & \textbf{fh\_day} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} \\\hline
  \textbf{AVERAGE} & \textbf{377.0} & \textbf{229.0} & \textbf{-610.3} & \textbf{1.0} & \textbf{0.0} & \textbf{377.0} & \textbf{0.0} & \textbf{0.0} & \textbf{346.4} & \textbf{377.0} & \textbf{1079.0} & \textbf{-589.9} & \textbf{1.0} & \textbf{0.0} & \textbf{377.0} & \textbf{0.1} & \textbf{0.0} & \textbf{181.0} \\
  181FL\_7A\_1 & 360.0 & 98.0 & -981.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.3 & 360.0 & 1112.0 & -130.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.5 \\
  181FL\_7A\_2 & 360.0 & 98.0 & -748.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.6 & 360.0 & 1112.0 & -748.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.4 \\
  181FL\_7A\_3 & 360.0 & 98.0 & -1073.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.9 & 360.0 & 1112.0 & -1043.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.9 \\
  181FL\_7A\_4 & 360.0 & 98.0 & -1092.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 1.4 & 360.0 & 1112.0 & -1092.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 2.0 \\
  181FL\_7A\_5 & 360.0 & 98.0 & -925.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 360.0 & 1112.0 & -1198.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.7 \\
  181FL\_7A\_6 & 360.0 & 98.0 & -1259.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 112.4 & 360.0 & 1112.0 & -677.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 542.2 \\
  181FL\_7A\_7 & 360.0 & 98.0 & -462.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 6.0 & 360.0 & 1112.0 & -399.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 2.4 \\
  181FL\_7A\_8 & 360.0 & 98.0 & -10.0 & 2.0 & 0.0 & 720.0 & 0.0 & 0.0 & 799.1 & 360.0 & 1112.0 & -743.0 & 2.0 & 0.0 & 720.0 & 0.0 & 0.0 & 239.4 \\
  181FL\_7A\_9 & 360.0 & 98.0 & -343.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 360.0 & 1112.0 & -296.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 \\
  181FL\_7A\_10 & 360.0 & 98.0 & -1512.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 116.8 & 360.0 & 1112.0 & -862.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 160.7 \\
  \textbf{AVERAGE} & \textbf{360.0} & \textbf{98.0} & \textbf{-840.5} & \textbf{0.6} & \textbf{0.0} & \textbf{216.0} & \textbf{0.0} & \textbf{0.0} & \textbf{104.3} & \textbf{360.0} & \textbf{1112.0} & \textbf{-718.8} & \textbf{0.6} & \textbf{0.0} & \textbf{216.0} & \textbf{0.0} & \textbf{0.0} & \textbf{95.1} \\
  196FL\_7A\_1 & 377.0 & 229.0 & -841.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.4 & 377.0 & 1079.0 & -841.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.3 \\
  196FL\_7A\_2 & 377.0 & 229.0 & -397.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.3 & 377.0 & 1079.0 & -837.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.3 \\
  196FL\_7A\_3 & 377.0 & 229.0 & -489.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.7 & 377.0 & 1079.0 & -850.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.9 \\
  196FL\_7A\_4 & 377.0 & 229.0 & -628.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.4 & 377.0 & 1079.0 & -1515.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.2 \\
  196FL\_7A\_5 & 377.0 & 229.0 & -635.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.6 & 377.0 & 1079.0 & -675.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.4 \\
  196FL\_7A\_6 & 377.0 & 229.0 & -401.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.9 & 377.0 & 1079.0 & -417.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 \\
  196FL\_7A\_7 & 377.0 & 229.0 & -894.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.7 & 377.0 & 1079.0 & -224.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 \\
  196FL\_7A\_8 & 377.0 & 229.0 & -1518.0 & 3.0 & 0.0 & 1131.0 & 0.0 & 100.0 & 7200.0 & 377.0 & 1079.0 & -1890.0 & 3.0 & 0.0 & 1131.0 & 0.0 & 100.0 & 7200.0 \\
  196FL\_7A\_9 & 377.0 & 229.0 & -58.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.1 & 377.0 & 1079.0 & -1657.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.0 \\
  196FL\_7A\_10 & 377.0 & 229.0 & -118.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.1 & 377.0 & 1079.0 & -1666.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.5 \\
  \textbf{AVERAGE} & \textbf{377.0} & \textbf{229.0} & \textbf{-597.9} & \textbf{0.3} & \textbf{0.0} & \textbf{113.1} & \textbf{0.0} & \textbf{10.0} & \textbf{720.8} & \textbf{377.0} & \textbf{1079.0} & \textbf{-1057.2} & \textbf{0.3} & \textbf{0.0} & \textbf{113.1} & \textbf{0.0} & \textbf{10.0} & \textbf{720.7} \\\hline
\end{tabular}
\end{table}
